task,seq_idx,action_shuffle_ratio,u_r_norm,u_f_norm,u_s_norm,rollout_psnr_gain_db
walker-stand,0,2.164044291835446,0.5248374258534959,0.22457220335923844,0.3502644451604763,-1.1033918481656215
walker-stand,1,2.1006761912522354,0.4412271936905062,0.20055471670852895,0.3081160040596536,1.2236223381803732
walker-stand,2,1.2886664808409884,0.4991595201902256,0.22390188179566164,0.34195817301920145,0.41130566650921807
walker-stand,3,1.8189071275498063,0.42315526859042285,0.18611448974710085,0.288186109558142,2.9991133796151352
walker-stand,4,1.8237863464009414,0.43083270032668963,0.18234354560733773,0.2922383957552767,4.223193132330859
walker-stand,5,1.2519468975557355,0.42055992301694006,0.18490894699477856,0.28681164021318833,3.430980235708482
walker-stand,6,1.5481892226051563,0.43421906516827746,0.18276634653623466,0.28499531765237934,4.440819575475519
walker-stand,7,1.0,0.42867994002619075,0.19116547410839713,0.2952526412358526,0.8570274482396627
walker-stand,8,1.4858239100468047,0.44535289755968055,0.192218519302918,0.29224053229409286,0.5021671234939298
walker-stand,9,1.525143247423781,0.4024670503811787,0.17402919104006154,0.29394490275304525,2.18002290681261
walker-stand,10,1.3059917800280623,0.48231641734955105,0.2107748013776922,0.34501979563188523,1.433420330712373
walker-stand,11,1.6895938869778484,0.434946853145533,0.18898650491824323,0.27063724782263554,2.07124727444344
walker-stand,12,1.8638354238136485,0.3943494735114668,0.17432829466174507,0.2610226651913023,2.3346245187898766
walker-stand,13,1.6557360511335943,0.46832605443155184,0.20697544115423722,0.3073640729865894,1.4575232297949654
walker-stand,14,2.616848004230511,0.42575434847515614,0.1846984001677239,0.2705531116022252,6.484271522381743
walker-stand,15,1.1339238784494259,0.40031425119338226,0.17656531850406318,0.2708706480853263,1.9448074252922538
walker-stand,16,2.107708724031929,0.43534590586049426,0.18474275189429304,0.29794047067447665,0.5825002055624147
walker-stand,17,2.0876487365540517,0.456766218934476,0.20054413165331708,0.2964956457992728,1.5494392265488592
walker-stand,18,1.4591407301292922,0.43293852861627397,0.18713054089039952,0.2886314582224755,2.4332313714658937
walker-stand,19,2.3861861363675074,0.4171202617110975,0.17970457223804787,0.2790490892971575,1.1234806315521801
walker-stand,20,1.364733836770542,0.4058565185485836,0.17941448346740962,0.27190417913953024,1.3587924842617767
walker-stand,21,1.2991503330753331,0.4397588683914997,0.19375620285390274,0.31569482858401654,1.0775173956602266
walker-stand,22,1.8423042936460041,0.41583425707322513,0.19130370186262652,0.2928826399933392,1.5667757841884011
walker-stand,23,2.2012759648707085,0.43712945679546167,0.2005506096929687,0.299360917645393,1.0147917145316683
walker-stand,24,1.7260885353908788,0.429888830181492,0.19325127900820255,0.34186013048080266,1.1575222804667789
walker-stand,25,1.4668873141548981,0.40716607194122134,0.17390342086148272,0.2611208744303403,6.039526438466552
walker-stand,26,2.4297136478499346,0.424379936589114,0.18606613688504114,0.2941710748468819,4.823256262974855
walker-stand,27,2.214516405394518,0.4442241904195786,0.19584978389398264,0.28265985802222326,0.7506200764374782
walker-stand,28,1.959486816321893,0.4744198271234753,0.20823851962907436,0.3204731430581006,-0.48522234800641684
walker-stand,29,2.030622122566589,0.5166346900734571,0.21817186954459797,0.35607166699458315,3.3818045776506658
walker-stand,30,1.0,0.4200731293011665,0.18857832322670415,0.27164945517904293,1.733572179805325
walker-stand,31,2.211010308333008,0.447236621909111,0.19471418925567396,0.30783715281531876,0.7761953802080406
walker-stand,32,1.586886595504911,0.525551360171431,0.23112551027986503,0.3703484917178021,0.6968024102814034
walker-stand,33,1.1284251636437628,0.617133745994511,0.2607772619443096,0.38524902096442026,5.0527244434222
walker-stand,34,1.582070706726227,0.4247988914976329,0.18118462770871022,0.2784477599014665,4.15224134945797
walker-stand,35,1.783136817536254,0.437652105847189,0.188016425218384,0.298949415003661,1.9808098905823783
walker-stand,36,1.4127568378096467,0.44826355539221335,0.20090744872367644,0.3092079086777372,1.9021575057875886
walker-stand,37,1.6666993592022636,0.4106124698152664,0.18118245095193797,0.27785722203945656,2.459439644640341
