task,frames,domain
acrobot-swingup,130260,dmcontrol
atari-alien,260260,atari
atari-assault,260260,atari
atari-asterix,260260,atari
atari-atlantis,260260,atari
atari-bank-heist,260260,atari
atari-battle-zone,260260,atari
atari-beamrider,260260,atari
atari-boxing,260260,atari
atari-chopper-command,260260,atari
atari-crazy-climber,260260,atari
atari-double-dunk,260260,atari
atari-gopher,260260,atari
atari-ice-hockey,260260,atari
atari-jamesbond,260260,atari
atari-kangaroo,260260,atari
atari-krull,260260,atari
atari-ms-pacman,260260,atari
atari-name-this-game,260260,atari
atari-phoenix,260260,atari
atari-pong,260260,atari
atari-road-runner,260260,atari
atari-robotank,260260,atari
atari-seaquest,260260,atari
atari-space-invaders,260260,atari
atari-tutankham,260260,atari
atari-upndown,260260,atari
atari-yars-revenge,260260,atari
bipedal-walker-flat,65260,box2d
bipedal-walker-hills,65260,box2d
bipedal-walker-obstacles,65260,box2d
bipedal-walker-rugged,65260,box2d
bipedal-walker-uneven,65260,box2d
cartpole-balance-sparse,130260,dmcontrol
cartpole-balance,130260,dmcontrol
cartpole-swingup-sparse,130260,dmcontrol
cartpole-swingup,130260,dmcontrol
cheetah-jump,130260,dmcontrol-ext
cheetah-run-back,130260,dmcontrol-ext
cheetah-run-backward,130260,dmcontrol-ext
cheetah-run-front,130260,dmcontrol-ext
cheetah-run,130260,dmcontrol
cup-catch,255510,dmcontrol
cup-spin,130260,dmcontrol-ext
finger-spin,130260,dmcontrol
finger-turn-easy,255510,dmcontrol
finger-turn-hard,130260,dmcontrol
fish-swim,130260,dmcontrol
giraffe-run,130260,dmcontrol-ext
hopper-hop-backward,130260,dmcontrol-ext
hopper-hop,130260,dmcontrol
hopper-stand,130260,dmcontrol
jumper-jump,130260,dmcontrol-ext
lunarlander-hover,128010,box2d
lunarlander-land,65260,box2d
lunarlander-takeoff,65260,box2d
ms-ant-run,130260,maniskill
ms-ant-walk,130260,maniskill
ms-anymal-reach,26260,maniskill
ms-cartpole-balance-sparse,130260,maniskill
ms-cartpole-balance,130260,maniskill
ms-cartpole-swingup-sparse,130260,maniskill
ms-cartpole-swingup,130260,maniskill
ms-hopper-hop,65260,maniskill
ms-hopper-stand,65260,maniskill
ms-lift-peg,6760,maniskill
ms-pick-apple,6760,maniskill
ms-pick-banana,6760,maniskill
ms-pick-baseball,6760,maniskill
ms-pick-can,6760,maniskill
ms-pick-cube-eepose,6760,maniskill
ms-pick-cube-so,6760,maniskill
ms-pick-cube-xarm6,6760,maniskill
ms-pick-cube,6760,maniskill
ms-pick-fork,6760,maniskill
ms-pick-hammer,6760,maniskill
ms-pick-knife,6760,maniskill
ms-pick-mug,6760,maniskill
ms-pick-orange,6760,maniskill
ms-pick-screwdriver,6760,maniskill
ms-pick-sponge,6760,maniskill
ms-pick-spoon,6760,maniskill
ms-pick-tennis-ball,6760,maniskill
ms-place-sphere,6760,maniskill
ms-poke-cube,6760,maniskill
ms-pull-cube-tool,13260,maniskill
ms-pull-cube,6760,maniskill
ms-push-cube,13260,maniskill
ms-reach-eepose,6760,maniskill
ms-reach-xarm6,6760,maniskill
ms-reach,6760,maniskill
ms-stack-cube,6760,maniskill
mujoco-ant,130260,mujoco
mujoco-halfcheetah,260260,mujoco
mujoco-hopper,130260,mujoco
mujoco-inverted-pendulum,130260,mujoco
mujoco-reacher,13260,mujoco
mujoco-walker,130260,mujoco
mw-assembly,26260,metaworld
mw-basketball,26260,metaworld
mw-bin-picking,26260,metaworld
mw-box-close,26260,metaworld
mw-button-press-topdown-wall,26260,metaworld
mw-button-press-topdown,26260,metaworld
mw-button-press-wall,26260,metaworld
mw-button-press,26260,metaworld
mw-coffee-button,26260,metaworld
mw-coffee-pull,26260,metaworld
mw-coffee-push,26260,metaworld
mw-dial-turn,26260,metaworld
mw-disassemble,26260,metaworld
mw-door-close,26260,metaworld
mw-door-lock,26260,metaworld
mw-door-open,26260,metaworld
mw-door-unlock,26260,metaworld
mw-drawer-close,26260,metaworld
mw-drawer-open,26260,metaworld
mw-faucet-close,26260,metaworld
mw-faucet-open,26260,metaworld
mw-hammer,26260,metaworld
mw-hand-insert,26260,metaworld
mw-handle-press-side,26260,metaworld
mw-handle-press,26260,metaworld
mw-handle-pull-side,26260,metaworld
mw-handle-pull,26260,metaworld
mw-lever-pull,26260,metaworld
mw-peg-insert-side,26260,metaworld
mw-peg-unplug-side,26260,metaworld
mw-pick-out-of-hole,26260,metaworld
mw-pick-place-wall,26260,metaworld
mw-pick-place,26260,metaworld
mw-plate-slide-back-side,26260,metaworld
mw-plate-slide-back,26260,metaworld
mw-plate-slide-side,26260,metaworld
mw-plate-slide,26260,metaworld
mw-push-back,26260,metaworld
mw-push-wall,26260,metaworld
mw-push,51510,metaworld
mw-reach-wall,26260,metaworld
mw-reach,26260,metaworld
mw-soccer,26260,metaworld
mw-stick-pull,26260,metaworld
mw-stick-push,26260,metaworld
mw-sweep-into,26260,metaworld
mw-sweep,26260,metaworld
mw-window-close,26260,metaworld
mw-window-open,26260,metaworld
og-ant-arena,52260,ogbench
og-ant-bottleneck,52260,ogbench
og-ant-circle,52260,ogbench
og-ant-maze,52260,ogbench
og-ant-spiral,52260,ogbench
og-ant,260260,ogbench
og-antball,52260,ogbench
og-point-arena,26260,ogbench
og-point-bottleneck,51510,ogbench
og-point-circle,26260,ogbench
og-point-maze,51510,ogbench
og-point-spiral,26260,ogbench
pendulum-spin,130260,dmcontrol-ext
pendulum-swingup,130260,dmcontrol
pygame-air-hockey,130260,pygame
pygame-bird-attack,255510,pygame
pygame-cartpole-balance-sparse,130260,pygame
pygame-cartpole-balance,130260,pygame
pygame-cartpole-swingup-sparse,130260,pygame
pygame-cartpole-swingup,130260,pygame
pygame-cartpole-tremor,130260,pygame
pygame-chase-evade,130260,pygame
pygame-coconut-dodge,130260,pygame
pygame-coinrun,130260,pygame
pygame-cowboy,130260,pygame
pygame-highway,130260,pygame
pygame-landing,52260,pygame
pygame-point-maze-var1,102510,pygame
pygame-point-maze-var2,52260,pygame
pygame-point-maze-var3,52260,pygame
pygame-pong,255510,pygame
pygame-rocket-collect,130260,pygame
pygame-spaceship,130260,pygame
quadruped-run,130260,dmcontrol
quadruped-walk,130260,dmcontrol
rd-flat-block-in-bin,26260,robodesk
rd-open-drawer,26260,robodesk
rd-open-slide,26260,robodesk
rd-push-blue,26260,robodesk
rd-push-green,26260,robodesk
rd-push-red,26260,robodesk
reacher-easy,130260,dmcontrol
reacher-hard,130260,dmcontrol
reacher-three-easy,130260,dmcontrol-ext
reacher-three-hard,130260,dmcontrol-ext
spinner-jump,130260,dmcontrol-ext
spinner-spin-backward,130260,dmcontrol-ext
spinner-spin,130260,dmcontrol-ext
walker-run-backward,130260,dmcontrol-ext
walker-run,130260,dmcontrol
walker-stand,130260,dmcontrol
walker-walk-backward,130260,dmcontrol-ext
walker-walk,130260,dmcontrol
cup-catch-var1,125250,dmcontrol
finger-turn-easy-var1,125250,dmcontrol
ms-push-banana,6500,maniskill
og-point-var1,25250,ogbench
og-point-var2,25250,ogbench
pygame-dungeon-explorer1,62750,pygame
pygame-foraging,125250,pygame
pygame-point-maze-var4,50250,pygame
pygame-reacher-easy,50250,pygame
pygame-whirlpool,125250,pygame
